LOC_NAME,LOC_DESC,SYS_SAMPLE_CODE,SYS_LOC_CODE,SAMPLE_DATE,MATRIX_CODE,FIELD_SDG,LAB_SDG,CAS_RN,CHEMICAL_NAME,DETECT_FLAG,REPORT_RESULT_TEXT,RESULT_NUMERIC,REPORT_RESULT_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,LAB_QUALIFIERS,PPT_unit,REMARK_1,REMARK_2,LOC_TYPE,LOC_TYPE_2,dt_location_loc_name,LOC_PURPOSE
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,13252-13-6,Hexafluoropropylene oxide dimer acid,N,ND,,3.4,1.3,3.4,U,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,1763-23-1,Perfluorooctanesulfonic acid (PFOS),N,ND,,1.7,0.45,1.7,U,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,2058-94-8,Perfluoroundecanoic acid (PFUnA),N,ND,,1.7,0.92,1.7,U,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,2355-31-9,N-methyl perfluorooctanesulfonamidoacetic acid (MeFOSAA),N,ND,,17,2.6,17,U,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,2991-50-6,N-ethyl perfluorooctanesulfonamidoacetic acid (EtFOSAA),N,ND,,17,1.6,17,U,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,307-24-4,Perfluorohexanoic acid (PFHxA),N,ND,,1.7,0.49,1.7,U,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,307-55-1,Perfluorododecanoic acid (PFDoA),N,ND,,1.7,0.46,1.7,U,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,335-67-1,Perfluorooctanoic acid (PFOA),N,ND,,1.7,0.71,1.7,U,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,335-76-2,Perfluorodecanoic acid (PFDA),N,ND,,1.7,0.26,1.7,U,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,355-46-4,Perfluorohexanesulfonic acid (PFHxS),Y,0.23,0.23,1.7,0.14,1.7,JB,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,375-73-5,Perfluorobutanesulfonic acid (PFBS),Y,0.18,0.18,1.7,0.17,1.7,J,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,375-85-9,Perfluoroheptanoic acid (PFHpA),N,ND,,1.7,0.21,1.7,U,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,375-95-1,Perfluorononanoic acid (PFNA),N,ND,,1.7,0.23,1.7,U,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,376-06-7,Perfluorotetradecanoic (PFTeA),N,ND,,1.7,0.24,1.7,U,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,72629-94-8,Perfluorotridecanoic acid (PFTriA),N,ND,,1.7,1.1,1.7,U,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,756426-58-1,9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid (9Cl-PF3ONS),N,ND,,1.7,0.20,1.7,U,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,763051-92-9,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid (11Cl-PF3OUdS),N,ND,,1.7,0.27,1.7,U,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,320-60237,919005-14-4,"4,8-dioxa-3H-perfluorononanoic acid (ADONA)",N,ND,,1.7,0.15,1.7,U,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,,PFAS_PFOS,"PFOS and PFOA, Total Combined",N,ND,,,,,,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11915,Divide Fire Protection District,11915-RW01,11915-RW01,2020/04/13 11:13:00,W,320-60237,,TOTAL_PFAS,Total PFAS,Y,0.41,0.41,,,,,ppt,Fire Station,Fire Station,RW,RAW,11915,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,13252-13-6,Hexafluoropropylene oxide dimer acid,N,ND,,3.7,1.4,3.7,U,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,1763-23-1,Perfluorooctanesulfonic acid (PFOS),Y,550,550,1.8,0.50,1.8,E,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,2058-94-8,Perfluoroundecanoic acid (PFUnA),N,ND,,1.8,1.0,1.8,U,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,2355-31-9,N-methyl perfluorooctanesulfonamidoacetic acid (MeFOSAA),N,ND,,18,2.9,18,U,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,2991-50-6,N-ethyl perfluorooctanesulfonamidoacetic acid (EtFOSAA),N,ND,,18,1.8,18,U,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,307-24-4,Perfluorohexanoic acid (PFHxA),Y,290,290,1.8,0.54,1.8,,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,307-55-1,Perfluorododecanoic acid (PFDoA),N,ND,,1.8,0.51,1.8,U,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,335-67-1,Perfluorooctanoic acid (PFOA),Y,100,100,1.8,0.79,1.8,,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,335-76-2,Perfluorodecanoic acid (PFDA),Y,0.67,0.67,1.8,0.29,1.8,J,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,355-46-4,Perfluorohexanesulfonic acid (PFHxS),Y,1300,1300,1.8,0.16,1.8,EB,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,375-73-5,Perfluorobutanesulfonic acid (PFBS),Y,120,120,1.8,0.18,1.8,,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,375-85-9,Perfluoroheptanoic acid (PFHpA),Y,91,91,1.8,0.23,1.8,,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,375-95-1,Perfluorononanoic acid (PFNA),Y,8.9,8.9,1.8,0.25,1.8,,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,376-06-7,Perfluorotetradecanoic (PFTeA),N,ND,,1.8,0.27,1.8,U,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,72629-94-8,Perfluorotridecanoic acid (PFTriA),N,ND,,1.8,1.2,1.8,U,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,756426-58-1,9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid (9Cl-PF3ONS),N,ND,,1.8,0.22,1.8,U,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
11930,Four Mile Fire Protection District,11930-RW01,11930-RW01,2020/04/27 11:35:00,W,320-60561,320-60561,763051-92-9,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid (11Cl-PF3OUdS),N,ND,,1.8,0.30,1.8,U,ppt,Fire Station,Fire Station,RW,RAW,11930,FS
